item_flag_id,local_language_id,name,description
1,9,Countable,Has a count in the bag
1,10,Počítatelný,
2,9,Consumable,Consumed when used
2,10,Spotřebující se,Spotřebuje se po použití
3,9,Usable_overworld,Usable outside battle
3,10,,Použitelný mimo souboj
4,9,Usable_in_battle,Usable in battle
4,10,,Použitelný v souboji
5,9,Holdable,Can be held by a Pokémon
5,10,Držitelný,Může být držen pokémonem
6,9,Holdable_passive,Works passively when held
6,10,,Funguje pasivně při držení
7,9,Holdable_active,Usable by a Pokémon when held
7,10,,Použitelný pokémonem při držení
8,9,Underground,Appears in Sinnoh Underground
8,10,Podzemí,Nachází se v Sinnohském podzemí
